branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,auto,loca,27,217.0,-3.8567121706347907,-3.856708041985752,0.021137381506099596,0.021137468775109584,-4.128649038648291e-06,-8.726900998720644e-08,-4.128640515839343e-06
lower_hopf,auto,loca,28,218.0,-3.7883996477403215,-3.7883968521571822,0.02263179172415174,0.02263185499329553,-2.7955831392034725e-06,-6.326914378865234e-08,-2.795579231459163e-06
lower_hopf,auto,loca,29,219.0,-3.7207940241720685,-3.7207926086284737,0.02421473312686294,0.024214767403897577,-1.415543594784907e-06,-3.427703463773635e-08,-1.4155425929145683e-06
lower_hopf,auto,loca,30,220.0,-3.6538987733836974,-3.653898781926918,0.025889992539409053,0.02588999231822513,8.543220797463391e-09,2.2118392187242542e-10,8.543220838143088e-09
lower_hopf,auto,loca,31,221.0,-3.5877183947685336,-3.5877198727006734,0.027661370807610525,0.027661329926011786,1.4779321397817569e-06,4.088159873821828e-08,1.4779332319728633e-06
lower_hopf,auto,loca,32,222.0,-3.522258460763554,-3.522261452276534,0.029532661436250857,0.02953257308904298,2.9915129799995555e-06,8.834720787581629e-08,2.9915174546234985e-06
lower_hopf,auto,loca,33,223.0,-3.4575256562342602,-3.4575302052661434,0.03150762634590702,0.031507483017036216,4.549031883183119e-06,1.4332887080664714e-07,4.549042230036232e-06
lower_hopf,auto,loca,34,224.0,-3.393527812837609,-3.393533988691591,0.03358996851007254,0.03358976106397234,6.175853981993384e-06,2.0744610020051457e-07,6.175873052667137e-06
lower_hopf,auto,loca,35,225.0,-3.330273940779541,-3.330281692173289,0.035783301219449094,0.035783023850066736,7.751393748200996e-06,2.773693823579504e-07,7.751423790234907e-06
lower_hopf,auto,loca,36,226.0,-3.2677742577945836,-3.2677836631410844,0.038091113794434264,0.038090755535995204,9.405346500734879e-06,3.582584390607324e-07,9.405390731149542e-06
lower_hopf,auto,loca,37,227.0,-3.2060391113877476,-3.206053246018842,0.04051677831051034,0.04051620562484315,1.4134631094453454e-05,5.726856671939284e-07,1.4134730988796671e-05
lower_hopf,auto,loca,38,228.0,-3.1450814646477747,-3.1450905543721417,0.0430634157579354,0.043063024325134876,9.089724366972973e-06,3.914328005269474e-07,9.089765678591164e-06
lower_hopf,auto,loca,39,229.0,-3.084919284980234,-3.0849341767201803,0.04573372514977605,0.045733044100105355,1.489173994650983e-05,6.810496706935454e-07,1.4891850828971529e-05
lower_hopf,auto,loca,40,230.0,-3.0255633755,-3.025552509966718,0.04853047268765705,0.048530999999987987,-1.0865533282000683e-05,-5.273123309390559e-07,-1.0865474252316797e-05
lower_hopf,auto,loca,41,231.0,-2.9670318786773087,-2.9670311705099777,0.05145581098950907,0.051455847428846305,-7.081673309983216e-07,-3.643933723512793e-08,-7.081670802432442e-07
lower_hopf,auto,loca,42,232.0,-2.9093414167494918,-2.90935647598883,0.05451161848896569,0.05451079759163721,1.5059239338199859e-05,8.208973284809518e-07,1.5059352729171769e-05
lower_hopf,auto,loca,43,233.0,-2.852510942304283,-2.852523056947153,0.05769925931930527,0.05769856031761885,1.2114642869764936e-05,6.990016864216742e-07,1.2114716252430075e-05
lower_hopf,auto,loca,44,234.0,-2.79655953064361,-2.796572831647912,0.061019638094504426,0.0610188264774333,1.3301004301968788e-05,8.116170711267023e-07,1.3301092760721383e-05
lower_hopf,auto,loca,45,235.0,-2.741507646806884,-2.741521310398587,0.06447307096315393,0.06447219003545478,1.3663591702961497e-05,8.809276991483816e-07,1.3663685050312991e-05
