T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-1.1292566191853988,0.3232734824261939,13.339088913915038,-13.138738144755676,621001.585414665,1.9675171407362945e-06,1.58246899451643,True,7,The solution converged.,3.137882415619104e-18
190.0,30000.0,1.0,10000000000.0,-1.1042921835724488,0.33144540173399883,13.363924982117931,-13.113792908560622,636617.9449169314,2.0172146009160305e-06,1.5825537842795558,True,7,The solution converged.,2.5013688537609775e-18
190.0,30000.0,1.0,10000000000.0,-1.079327747959499,0.3398238961826785,13.388761073863213,-13.0888476646542,652627.0251966456,2.06816738379458e-06,1.582638574086894,True,7,The solution converged.,3.535813860187003e-18
190.0,30000.0,1.0,10000000000.0,-1.054363312346549,0.3484141877142542,13.413597189143546,-13.063902413039168,669038.7027916661,2.1204071983325516e-06,1.58272336393843,True,7,The solution converged.,8.33706261521022e-18
190.0,30000.0,1.0,10000000000.0,-1.029398876733599,0.35722163027442555,13.438433327951593,-13.038957153718284,685863.1026344468,2.173966554456389e-06,1.5828081538341494,True,7,The solution converged.,3.7640430338910984e-18
190.0,30000.0,1.0,10000000000.0,-1.0044344411206492,0.3662517131494464,13.46326949028002,-13.014011886694307,703110.6042993917,2.22887878329094e-06,1.5828929437740373,True,7,The solution converged.,8.601289249003344e-18
190.0,30000.0,1.0,10000000000.0,-0.9794700055076992,0.37551006438735185,13.488105676121496,-12.989066611969994,720791.848407336,2.2851780579031286e-06,1.5829777337580795,True,7,The solution converged.,9.652830742419472e-18
190.0,30000.0,1.0,10000000000.0,-0.9545055698947493,0.3850024543056702,13.512941885468697,-12.964121329548096,738917.7431911179,2.342899414569625e-06,1.5830625237862614,True,7,The solution converged.,2.323863540950588e-18
190.0,30000.0,1.0,10000000000.0,-0.9295411342817994,0.39473479908780396,13.537778118314298,-12.939176039431368,757499.4712262771,2.4020787745817182e-06,1.583147313858568,True,7,The solution converged.,5.831973850522133e-18
190.0,30000.0,1.0,10000000000.0,-0.9045766986688495,0.40471316447032357,13.562614374650977,-12.914230741622562,776548.496331053,2.4627529666010324e-06,1.5832321039749853,True,7,The solution converged.,8.427156295640327e-18
190.0,30000.0,1.0,10000000000.0,-0.8796122630558996,0.4149437695234706,13.58745065447142,-12.88928543612443,796076.5706399324,2.52495974957993e-06,1.5833168941354985,True,7,The solution converged.,5.738826150618517e-18
190.0,30000.0,1.0,10000000000.0,-0.8546478274429496,0.42543299052722666,13.612286957768312,-12.86434012293972,816095.7418550977,2.5887378362609216e-06,1.5834016843400929,True,7,The solution converged.,9.629429173636357e-18
190.0,30000.0,1.0,10000000000.0,-0.8296833918299997,0.43618736494536453,13.63712328453434,-12.839394802071178,836618.3606802741,2.654126917269662e-06,1.5834864745887542,True,7,The solution converged.,9.461597450110282e-18
190.0,30000.0,1.0,10000000000.0,-0.8047189562170498,0.4472135954999581,13.6619596347622,-12.814449473521552,857657.0884415573,2.7211676858165638e-06,1.583571264881468,True,7,The solution converged.,9.164358509138254e-18
190.0,30000.0,1.0,10000000000.0,-0.7797545206040999,0.4585185543488898,13.686796008444587,-12.78950413729359,879224.904899906,2.789901863022374e-06,1.5836560552182195,True,7,The solution converged.,5.726901043835236e-18
190.0,30000.0,1.0,10000000000.0,-0.75479008499115,0.4701092873689603,13.7116324055742,-12.764558793390037,901335.1162601458,2.860372223883515e-06,1.5837408455989943,True,7,The solution converged.,4.581687262303142e-18
190.0,30000.0,1.0,10000000000.0,-0.7298256493782,0.48199301854726967,13.73646882614374,-12.739613441813631,924001.3633814112,2.9326226238933175e-06,1.583825636023778,True,7,The solution converged.,2.8861038836322513e-18
190.0,30000.0,1.0,10000000000.0,-0.7048612137652501,0.494177154483606,13.761305270145915,-12.714668082567119,947237.6301941023,3.006698026335676e-06,1.5839104264925556,True,7,The solution converged.,6.693211128665513e-18
190.0,30000.0,1.0,10000000000.0,-0.6798967781523002,0.5066692890066492,13.78614173757343,-12.689722715653238,971058.2523285394,3.0826445302682476e-06,1.5839952170053133,True,7,The solution converged.,5.465747410128208e-18
190.0,30000.0,1.0,10000000000.0,-0.6549323425393503,0.5194772079068656,13.810978228419003,-12.664777341074728,995477.925960655,3.1605093992124367e-06,1.5840800075620363,True,7,The solution converged.,5.2121792678988984e-18
190.0,30000.0,1.0,10000000000.0,-0.6299679069264004,0.532608893789044,13.835814742675344,-12.639831958834328,1020511.7168801589,3.240341090568165e-06,1.58416479816271,True,7,The solution converged.,4.77582933258478e-18
