start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
n_plus_1pct,38,45321.531588516562,47728.855289232182,2407.3237007156204,1.4773506530204727,1.3613978644577158,0.11595278856275693,0.0098180112629804844,0.017939254339036023
n_plus_1pct,39,47728.855289232182,50152.753334645444,2423.8980454132616,1.4773730755190968,1.3599758856276207,0.11739718989147607,0.0068849671910404843,0.012456805451792962
n_plus_1pct,40,50152.753334645444,52588.286693242437,2435.5333585969929,1.4773886765442503,1.3589703764494101,0.11841830009484022,0.0048002485936852112,0.008697910097405925
n_plus_1pct,41,52588.286693242437,55031.909111388217,2443.6224181457801,1.4773994309240439,1.3582722862583674,0.11912714466567653,0.0033212682225165469,0.0059859377331763861
n_plus_1pct,42,55031.909111388217,57481.136497038766,2449.227385650549,1.4774068069440529,1.3577868709450704,0.11961993599898246,0.0022937125896159982,0.0041366838321267698
n_plus_1pct,43,57481.136497038766,59934.237479016316,2453.10098197755,1.477411862324469,1.3574504194209727,0.11996144290349631,0.0015815584741929198,0.0028549330148174394
n_plus_1pct,44,59934.237479016316,62390.008999334736,2455.7715203184198,1.4774153055980379,1.357218735996198,0.12019656960183989,0.0010886377529868297,0.0019600189248534516
n_plus_1pct,45,62390.008999334736,64847.609779529499,2457.6007801947635,1.4774178655049903,1.3570650998517892,0.12035276565320108,0.00074488194899602366,0.0012995050680614389
n_plus_1pct,46,64847.609779529499,67306.459995048848,2458.8502155193491,1.4774194472073028,1.356954673994528,0.12046477321277482,0.00050839637367246855,0.00093066045442194315
n_plus_1pct,47,67306.459995048848,69766.189824108544,2459.7298290596955,1.4774204782071672,1.3568764441210628,0.12054403408610437,0.00035773368169989895,0.00065795893036338631
n_plus_1pct,48,69766.189824108544,72226.497169580383,2460.3073454718397,1.4774214005299018,1.3568297094365558,0.120591691093346,0.00023478855495481403,0.00039534936426293115
n_plus_1pct,49,72226.497169580383,74687.21657911579,2460.7194095354062,1.4774219174546683,1.3567910296542913,0.12063088780037701,0.00016748479181875469,0.00032503654833621623
n_plus_1pct,50,74687.21657911579,77148.216986361193,2461.000407245403,1.4774221965078997,1.3567664275995963,0.12065576890830343,0.00011419331635618521,0.00020625818461682925
n_plus_1pct,51,77148.216986361193,79609.41246936869,2461.1954830074974,1.4774225668822654,1.3567485769174319,0.12067398996483347,7.9266854861148107e-05,0.00015101686968561846
n_plus_1pct,52,79609.41246936869,82070.724966743801,2461.312497375111,1.4774226595185223,1.3567413541200171,0.12068130539850519,4.7543711347383343e-05,6.0621461790144109e-05
n_plus_1pct,53,82070.724966743801,84532.137827770435,2461.4128610266343,1.4774227238769191,1.3567299370447921,0.12069278683212703,4.0776476627978077e-05,9.5138460625092996e-05
n_plus_1pct,54,84532.137827770435,86993.612606544571,2461.4747787741362,1.4774229375959067,1.3567297579422539,0.12069317965365278,2.5155368480540316e-05,3.2547224739985545e-06
n_plus_1pct,55,86993.612606544571,89455.119664532584,2461.5070579880121,1.4774229375959067,1.356724090666207,0.12069884692969968,1.3113769905031118e-05,4.6956058852353074e-05
n_plus_1pct,56,89455.119664532584,91916.665180603377,2461.5455160707934,1.4774229117490001,1.3567184706494557,0.12070444109954437,1.562379545347499e-05,4.6348163110040412e-05
n_plus_1pct,57,91916.665180603377,94378.229580034793,2461.5643994314159,1.4774230559096027,1.3567218808096739,0.12070117509992873,7.6713432675863815e-06,2.7057824765114503e-05
n_plus_1pct,58,94378.229580034793,96839.799194008301,2461.5696139735082,1.4774230559096027,1.3567185135397783,0.12070454236982431,2.1183854029958572e-06,2.7897573431198634e-05
n_plus_1pct,59,96839.799194008301,99301.385559005357,2461.5863649970561,1.4774229990729937,1.35671487694402,0.12070812212897364,6.8050171942123194e-06,2.9657203275435412e-05
n_plus_1pct,60,99301.385559005357,101762.98337153539,2461.5978125300317,1.4774230906292916,1.3567138322322752,0.12070925839701641,4.650469769560262e-06,9.4133519992405053e-06
n_plus_1pct,61,101762.98337153539,104224.57053570947,2461.5871641740814,1.4774230906292916,1.3567176415718343,0.12070544905745728,4.3257903041877369e-06,3.1557973346131345e-05
n_plus_1pct,62,104224.57053570947,106686.17198770317,2461.6014519937016,1.4774230202760681,1.3567136174664829,0.1207094028095852,5.8043118798174843e-06,3.275537400166958e-05
n_plus_1pct,63,106686.17198770317,109147.77548146085,2461.6034937576769,1.4774231063997487,1.356718561521044,0.12070454487870474,8.2944538955781287e-07,4.024484230210523e-05
n_plus_1pct,64,109147.77548146085,111609.37122374465,2461.5957422837964,1.4774231063997487,1.3567163275971603,0.1207067788025884,3.1489530706899546e-06,1.8507371747263161e-05
n_plus_1pct,65,111609.37122374465,114070.9766782831,2461.6054545384541,1.477423029975315,1.3567132556086248,0.12070977436669028,3.9455116414168681e-06,2.4816867218212251e-05
n_plus_1pct,66,114070.9766782831,116532.58413475435,2461.6074564712471,1.4774231102487827,1.3567183245981658,0.12070478565061693,8.1326306349097731e-07,4.1328186549302835e-05
n_plus_1pct,67,116532.58413475435,118994.18148927056,2461.5973545162124,1.4774231102487827,1.3567163277740977,0.12070678247468503,4.1038042065615869e-06,1.6543039758800504e-05
n_plus_1pct,68,118994.18148927056,121455.78971302215,2461.6082237515948,1.4774230285887411,1.3567130737089561,0.12070995487978498,4.4155212315588181e-06,2.6281912539708709e-05
n_plus_1pct,69,121455.78971302215,123917.39509582742,2461.6053828052682,1.4774231104074933,1.3567181522643992,0.12070495814309412,1.1541017369062228e-06,4.1394570115037892e-05
